energy_eV,delta_Im_epsilon
2.930000000000000160e+00,-2.752728615646659591e+02
2.939999999999999947e+00,-3.151721647126277048e+02
2.950000000000000178e+00,-3.551049479705470731e+02
2.959999999999999964e+00,-3.955834261662973290e+02
2.970000000000000195e+00,-4.369504537440733429e+02
2.979999999999999982e+00,-4.793211661110673845e+02
2.990000000000000213e+00,-5.225428945525625295e+02
3.000000000000000000e+00,-5.661766707849865270e+02
3.010000000000000231e+00,-6.095019689072579467e+02
3.020000000000000018e+00,-6.515445495596324008e+02
3.030000000000000249e+00,-6.911255087107215331e+02
3.040000000000000036e+00,-7.269280239092851161e+02
3.050000000000000266e+00,-7.575769535771331675e+02
3.060000000000000053e+00,-7.817254780796064324e+02
3.070000000000000284e+00,-7.981424445520713107e+02
3.080000000000000071e+00,-8.057940271632924123e+02
3.089999999999999858e+00,-8.039137414061541449e+02
3.100000000000000089e+00,-7.920557205153110090e+02
3.109999999999999876e+00,-7.701274071169665376e+02
3.120000000000000107e+00,-7.383993393158783647e+02
3.129999999999999893e+00,-6.974914030524204236e+02
3.140000000000000124e+00,-6.483366555215803828e+02
3.149999999999999911e+00,-5.921254692161307958e+02
3.160000000000000142e+00,-5.302341812932608036e+02
3.169999999999999929e+00,-4.641435529181762831e+02
3.180000000000000160e+00,-3.953530659630253012e+02
3.189999999999999947e+00,-3.252973572608410677e+02
3.200000000000000178e+00,-2.552708939459952262e+02
3.209999999999999964e+00,-1.863663420811628271e+02
3.220000000000000195e+00,-1.194310228551902924e+02
3.229999999999999982e+00,-5.504446393654734493e+01
3.240000000000000213e+00,6.481560050430459796e+00
3.250000000000000000e+00,6.508082591830635977e+01
3.260000000000000231e+00,1.208903307243380567e+02
3.270000000000000018e+00,1.741914218828837022e+02
3.280000000000000249e+00,2.253392787836290267e+02
3.290000000000000036e+00,2.746865778948304069e+02
3.300000000000000266e+00,3.225076854436429130e+02
3.310000000000000053e+00,3.689297627140218765e+02
3.320000000000000284e+00,4.138767310365914227e+02
3.330000000000000071e+00,4.570311534031645806e+02
3.339999999999999858e+00,4.978178068695712568e+02
3.350000000000000089e+00,5.354111328702106221e+02
3.359999999999999876e+00,5.687669723829843633e+02
3.370000000000000107e+00,5.966771457761028614e+02
3.379999999999999893e+00,6.178436556793184309e+02
3.390000000000000124e+00,6.309677049286866577e+02
3.399999999999999911e+00,6.348474480022338184e+02
3.410000000000000142e+00,6.284775303724870810e+02
3.419999999999999929e+00,6.111430853138609791e+02
3.430000000000000160e+00,5.825009886860108281e+02
3.439999999999999947e+00,5.426418201762088529e+02
3.450000000000000178e+00,4.921271093480413015e+02
