energy_eV,delta_vs_alpha02,delta_vs_same_alpha
1.620000000000000107e+00,1.204428724762170866e+01,1.174541084674461544e+01
1.630000000000000115e+00,9.636976303729776205e+00,9.347645383500365668e+00
1.640000000000000124e+00,7.595329494760155065e+00,7.316975736588711143e+00
1.650000000000000133e+00,5.791246314913264470e+00,5.524338246216404791e+00
1.660000000000000142e+00,4.112447410405168036e+00,3.856424158245381317e+00
1.669999999999999929e+00,2.468336652563952516e+00,2.221641104160692048e+00
1.679999999999999938e+00,7.938547369160602329e-01,5.540649631667982078e-01
1.689999999999999947e+00,-9.487586475774170136e-01,-1.184710342011740858e+00
1.699999999999999956e+00,-2.770241002661122831e+00,-3.005780721701560854e+00
1.709999999999999964e+00,-4.656442907215574856e+00,-4.895025845569462852e+00
1.719999999999999973e+00,-6.572037618156350014e+00,-6.816807798419660891e+00
1.729999999999999982e+00,-8.465435588446243997e+00,-8.718907475293642406e+00
1.739999999999999991e+00,-1.027448121574595596e+01,-1.053827473541071136e+01
1.750000000000000000e+00,-1.193248640360327251e+01,-1.220714254883569083e+01
1.760000000000000009e+00,-1.337416392710752255e+01,-1.365906106319010327e+01
1.770000000000000018e+00,-1.454106094948414096e+01,-1.483444275877547192e+01
1.780000000000000027e+00,-1.538615518863444009e+01,-1.568527071811856999e+01
1.790000000000000036e+00,-1.587735745876656424e+01,-1.617870292969345059e+01
1.800000000000000044e+00,-1.599975778973227847e+01,-1.629939971010847799e+01
1.810000000000000053e+00,-1.575655068401612624e+01,-1.605050135540247780e+01
1.820000000000000062e+00,-1.516867096121894853e+01,-1.545328154207520299e+01
1.830000000000000071e+00,-1.427325829161177140e+01,-1.454559180688173292e+01
1.840000000000000080e+00,-1.312114022839723049e+01,-1.337928765555045985e+01
1.850000000000000089e+00,-1.177357606033895543e+01,-1.201688291062365188e+01
1.860000000000000098e+00,-1.029853458248541820e+01,-1.052771293386978790e+01
1.870000000000000107e+00,-8.766787209147503646e+00,-8.983898320226108680e+00
1.880000000000000115e+00,-7.248084806294321503e+00,-7.456389367367042276e+00
1.890000000000000124e+00,-5.807654887503671759e+00,-6.011340572982224018e+00
1.900000000000000133e+00,-4.503209395343486854e+00,-4.707017499988990217e+00
1.910000000000000142e+00,-3.382597088803510399e+00,-3.591380497377663517e+00
1.919999999999999929e+00,-2.482173946657635355e+00,-2.700426458334266311e+00
1.929999999999999938e+00,-1.825905332572808737e+00,-2.057306612421357706e+00
1.939999999999999947e+00,-1.425159842389862375e+00,-1.672180479138721143e+00
1.949999999999999956e+00,-1.279110803290384846e+00,-1.542717952539768955e+00
1.959999999999999964e+00,-1.375630197008677058e+00,-1.655126306272535652e+00
1.969999999999999973e+00,-1.692542867040242927e+00,-1.985558616462090642e+00
1.979999999999999982e+00,-2.199106365400304686e+00,-2.501755154203384013e+00
1.989999999999999991e+00,-2.857592473676046296e+00,-3.164778735873606585e+00
2.000000000000000000e+00,-3.624867904971892152e+00,-3.930726605425635789e+00
2.010000000000000231e+00,-4.453900677687250287e+00,-4.752331917122641691e+00
2.020000000000000018e+00,-5.295151326959439686e+00,-5.580403380234319144e+00
2.030000000000000249e+00,-6.097840506186029685e+00,-6.365087929780517406e+00
2.040000000000000036e+00,-6.811112880421947402e+00,-7.056974332603243916e+00
2.049999999999999822e+00,-7.385138361179760302e+00,-7.608081861133512369e+00
2.060000000000000053e+00,-7.772203389337713375e+00,-7.972794830128473897e+00
2.069999999999999840e+00,-7.927845929225592059e+00,-8.108809224912025826e+00
2.080000000000000071e+00,-7.812078059553170917e+00,-7.978151391875667464e+00
2.089999999999999858e+00,-7.390720667339585326e+00,-7.548311586571255560e+00
2.100000000000000089e+00,-6.636847944683702316e+00,-6.793509003078357367e+00
2.109999999999999876e+00,-5.532308157128655424e+00,-5.696072619156386629e+00
2.120000000000000107e+00,-4.069255033319794990e+00,-4.247887344347938132e+00
2.129999999999999893e+00,-2.251594850023962646e+00,-2.451821455583468978e+00
2.140000000000000124e+00,-9.623142283152036347e-02,-3.230230260201171766e-01
2.149999999999999911e+00,2.366022176341973982e+00,2.110046512038389110e+00
2.160000000000000142e+00,5.089998009685934299e+00,4.804981610104341883e+00
2.169999999999999929e+00,8.016315301060847887e+00,7.705339407066575497e+00
2.180000000000000160e+00,1.107220730222992700e+01,1.074119978549723164e+01
2.189999999999999947e+00,1.417309398984921565e+01,1.383046207354304968e+01
2.200000000000000178e+00,1.722491576464980412e+01,1.688091811491893068e+01
2.209999999999999964e+00,2.012719112274873012e+01,1.979308934645503726e+01
2.220000000000000195e+00,2.277670662247662747e+01,2.246375885088107083e+01
2.229999999999999982e+00,2.507169470195261241e+01,2.479007247938939429e+01
2.240000000000000213e+00,2.691630837023941325e+01,2.667403066207974405e+01
2.250000000000000000e+00,2.822516552879349305e+01,2.802714887949795752e+01
2.260000000000000231e+00,2.892771304619923001e+01,2.877503386232838878e+01
2.270000000000000018e+00,2.897215412264644741e+01,2.886160747285621397e+01
2.280000000000000249e+00,2.832869319215025428e+01,2.825271284162841567e+01
2.290000000000000036e+00,2.699188058564197590e+01,2.693885833856532841e+01
2.300000000000000266e+00,2.498188307667498265e+01,2.493689364005121689e+01
2.310000000000000053e+00,2.234456368992480790e+01,2.229046647108309642e+01
2.319999999999999840e+00,1.915032116163776621e+01,1.906917531502482532e+01
2.330000000000000071e+00,1.549171180528026959e+01,1.536640828070049558e+01
2.339999999999999858e+00,1.147994939381945301e+01,1.129593651189212089e+01
2.350000000000000089e+00,7.240447052324070043e+00,6.987406809297039167e+00
2.359999999999999876e+00,2.907624347022141453e+00,2.580947352652732896e+00
2.370000000000000107e+00,-1.380751352439140378e+00,-1.778842174335149462e+00
2.379999999999999893e+00,-5.489390781671534825e+00,-5.949203116781782263e+00
2.390000000000000124e+00,-9.291166712250568338e+00,-9.795497174616656366e+00
2.399999999999999911e+00,-1.267235523921653595e+01,-1.319711413066000816e+01
2.410000000000000142e+00,-1.553716117339694769e+01,-1.605268778641962157e+01
2.419999999999999929e+00,-1.781129868738522504e+01,-1.828433777702587193e+01
2.430000000000000160e+00,-1.944445675191085954e+01,-1.984071011776892135e+01
2.439999999999999947e+00,-2.041154733325270598e+01,-2.069865834688118156e+01
2.450000000000000178e+00,-2.071270820376029320e+01,-2.086348560330254998e+01
2.459999999999999964e+00,-2.037210661684537172e+01,-2.036775096173320065e+01
2.470000000000000195e+00,-1.943566010043905834e+01,-1.926872564135066668e+01
2.479999999999999982e+00,-1.796785166979731585e+01,-1.764466121034914181e+01
