energy_au,energy_eV,re_eps_z,im_eps_z
0.35100000,9.55119657,-4.465491682161e+02,1.884976776945e+02
0.35200000,9.57840796,-4.485946512484e+02,1.796533685127e+02
0.35300000,9.60561934,-4.503337185406e+02,1.706879100494e+02
0.35400000,9.63283073,-4.517596907423e+02,1.616163300998e+02
0.35500000,9.66004212,-4.528667134515e+02,1.524539930951e+02
0.35600000,9.68725350,-4.536497747577e+02,1.432165522907e+02
0.35700000,9.71446489,-4.541047198672e+02,1.339199009825e+02
0.35800000,9.74167628,-4.542282627546e+02,1.245801229395e+02
0.35900000,9.76888766,-4.540179947983e+02,1.152134422423e+02
0.36000000,9.79609905,-4.534723903697e+02,1.058361727179e+02
0.36100000,9.82331043,-4.525908093591e+02,9.646466716622e+01
0.36200000,9.85052182,-4.513734966324e+02,8.711526656974e+01
0.36300000,9.87773321,-4.498215784276e+02,7.780424948142e+01
0.36400000,9.90494459,-4.479370557101e+02,6.854778178215e+01
0.36500000,9.93215598,-4.457227945201e+02,5.936186699811e+01
0.36600000,9.95936737,-4.431825133574e+02,5.026229736563e+01
0.36700000,9.98657875,-4.403207676589e+02,4.126460582726e+01
0.36800000,10.01379014,-4.371429314389e+02,3.238401913843e+01
0.36900000,10.04100152,-4.336551761714e+02,2.363541225929e+01
0.37000000,10.06821291,-4.298644470049e+02,1.503326419987e+01
0.37100000,10.09542430,-4.257784364117e+02,6.591615480871e+00
0.37200000,10.12263568,-4.214055553830e+02,-1.675972635394e+00
0.37300000,10.14984707,-4.167549022902e+02,-9.756456996911e+00
0.37400000,10.17705846,-4.118362295428e+02,-1.763734935823e+01
0.37500000,10.20426984,-4.066599081815e+02,-2.530675099161e+01
0.37600000,10.23148123,-4.012368905519e+02,-3.275338499296e+01
0.37700000,10.25869261,-3.955786712120e+02,-3.996662617256e+01
0.37800000,10.28590400,-3.896972462343e+02,-4.693652843083e+01
0.37900000,10.31311539,-3.836050710655e+02,-5.365384953016e+01
0.38000000,10.34032677,-3.773150171163e+02,-6.011007318501e+01
0.38100000,10.36753816,-3.708403272543e+02,-6.629742840348e+01
0.38200000,10.39474955,-3.641945703783e+02,-7.220890602567e+01
0.38300000,10.42196093,-3.573915952550e+02,-7.783827241524e+01
0.38400000,10.44917232,-3.504454837991e+02,-8.318008027289e+01
0.38500000,10.47638370,-3.433705039827e+02,-8.822967655218e+01
0.38600000,10.50359509,-3.361810625552e+02,-9.298320746999e+01
0.38700000,10.53080648,-3.288916577595e+02,-9.743762061599e+01
0.38800000,10.55801786,-3.215168322245e+02,-1.015906641770e+02
0.38900000,10.58522925,-3.140711262161e+02,-1.054408833041e+02
0.39000000,10.61244064,-3.065690314223e+02,-1.089876136611e+02
