itt,time_au,time_as,para_z,dia_z,total_z
174,3.4800000000,84.1771745624,1.972490000000e-04,6.063313000000e-05,2.578821000000e-04
175,3.5000000000,84.6609514277,1.962216000000e-04,6.063313000000e-05,2.568547000000e-04
176,3.5200000000,85.1447282930,1.951032000000e-04,6.063313000000e-05,2.557363000000e-04
177,3.5400000000,85.6285051583,1.938950000000e-04,6.063313000000e-05,2.545282000000e-04
178,3.5600000000,86.1122820236,1.925985000000e-04,6.063313000000e-05,2.532316000000e-04
179,3.5800000000,86.5960588889,1.912149000000e-04,6.063313000000e-05,2.518480000000e-04
180,3.6000000000,87.0798357542,1.897457000000e-04,6.063313000000e-05,2.503788000000e-04
181,3.6200000000,87.5636126195,1.881923000000e-04,6.063313000000e-05,2.488255000000e-04
182,3.6400000000,88.0473894848,1.865563000000e-04,6.063313000000e-05,2.471895000000e-04
183,3.6600000000,88.5311663501,1.848393000000e-04,6.063313000000e-05,2.454724000000e-04
184,3.6800000000,89.0149432154,1.830427000000e-04,6.063313000000e-05,2.436759000000e-04
185,3.7000000000,89.4987200807,1.811683000000e-04,6.063313000000e-05,2.418014000000e-04
186,3.7200000000,89.9824969460,1.792175000000e-04,6.063313000000e-05,2.398507000000e-04
187,3.7400000000,90.4662738113,1.771923000000e-04,6.063313000000e-05,2.378254000000e-04
188,3.7600000000,90.9500506766,1.750941000000e-04,6.063313000000e-05,2.357272000000e-04
189,3.7800000000,91.4338275419,1.729247000000e-04,6.063313000000e-05,2.335579000000e-04
190,3.8000000000,91.9176044072,1.706860000000e-04,6.063313000000e-05,2.313191000000e-04
191,3.8200000000,92.4013812725,1.683796000000e-04,6.063313000000e-05,2.290127000000e-04
192,3.8400000000,92.8851581378,1.660073000000e-04,6.063313000000e-05,2.266404000000e-04
193,3.8600000000,93.3689350031,1.635709000000e-04,6.063313000000e-05,2.242040000000e-04
194,3.8800000000,93.8527118684,1.610722000000e-04,6.063313000000e-05,2.217053000000e-04
195,3.9000000000,94.3364887337,1.585130000000e-04,6.063313000000e-05,2.191462000000e-04
196,3.9200000000,94.8202655990,1.558952000000e-04,6.063313000000e-05,2.165284000000e-04
197,3.9400000000,95.3040424643,1.532206000000e-04,6.063313000000e-05,2.138537000000e-04
198,3.9600000000,95.7878193296,1.504909000000e-04,6.063313000000e-05,2.111241000000e-04
199,3.9800000000,96.2715961949,1.477081000000e-04,6.063313000000e-05,2.083413000000e-04
200,4.0000000000,96.7553730602,1.448740000000e-04,6.063313000000e-05,2.055071000000e-04
201,4.0200000000,97.2391499255,1.419903000000e-04,6.063313000000e-05,2.026234000000e-04
202,4.0400000000,97.7229267908,1.390589000000e-04,6.063313000000e-05,1.996920000000e-04
203,4.0600000000,98.2067036561,1.360816000000e-04,6.063313000000e-05,1.967147000000e-04
204,4.0800000000,98.6904805214,1.330602000000e-04,6.063313000000e-05,1.936933000000e-04
205,4.1000000000,99.1742573867,1.299965000000e-04,6.063313000000e-05,1.906296000000e-04
206,4.1200000000,99.6580342520,1.268923000000e-04,6.063313000000e-05,1.875254000000e-04
207,4.1400000000,100.1418111173,1.237493000000e-04,6.063313000000e-05,1.843824000000e-04
208,4.1600000000,100.6255879826,1.205692000000e-04,6.063313000000e-05,1.812024000000e-04
209,4.1800000000,101.1093648479,1.173539000000e-04,6.063313000000e-05,1.779870000000e-04
210,4.2000000000,101.5931417132,1.141050000000e-04,6.063313000000e-05,1.747381000000e-04
211,4.2200000000,102.0769185785,1.108241000000e-04,6.063313000000e-05,1.714572000000e-04
212,4.2400000000,102.5606954438,1.075129000000e-04,6.063313000000e-05,1.681461000000e-04
213,4.2600000000,103.0444723091,1.041732000000e-04,6.063313000000e-05,1.648063000000e-04
214,4.2800000000,103.5282491744,1.008063000000e-04,6.063313000000e-05,1.614395000000e-04
215,4.3000000000,104.0120260397,9.741407000000e-05,6.063313000000e-05,1.580472000000e-04
216,4.3200000000,104.4958029050,9.399790000000e-05,6.063313000000e-05,1.546310000000e-04
217,4.3400000000,104.9795797703,9.055934000000e-05,6.063313000000e-05,1.511925000000e-04
218,4.3600000000,105.4633566356,8.709988000000e-05,6.063313000000e-05,1.477330000000e-04
219,4.3800000000,105.9471335009,8.362099000000e-05,6.063313000000e-05,1.442541000000e-04
220,4.4000000000,106.4309103662,8.012409000000e-05,6.063313000000e-05,1.407572000000e-04
221,4.4200000000,106.9146872315,7.661056000000e-05,6.063313000000e-05,1.372437000000e-04
222,4.4400000000,107.3984640968,7.308178000000e-05,6.063313000000e-05,1.337149000000e-04
223,4.4600000000,107.8822409621,6.953905000000e-05,6.063313000000e-05,1.301722000000e-04
224,4.4800000000,108.3660178274,6.598367000000e-05,6.063313000000e-05,1.266168000000e-04
225,4.5000000000,108.8497946927,6.241690000000e-05,6.063313000000e-05,1.230500000000e-04
226,4.5200000000,109.3335715580,5.883995000000e-05,6.063313000000e-05,1.194731000000e-04
227,4.5400000000,109.8173484233,5.525401000000e-05,6.063313000000e-05,1.158871000000e-04
228,4.5600000000,110.3011252886,5.166022000000e-05,6.063313000000e-05,1.122933000000e-04
229,4.5800000000,110.7849021539,4.805969000000e-05,6.063313000000e-05,1.086928000000e-04
230,4.6000000000,111.2686790192,4.445350000000e-05,6.063313000000e-05,1.050866000000e-04
231,4.6200000000,111.7524558845,4.084268000000e-05,6.063313000000e-05,1.014758000000e-04
232,4.6400000000,112.2362327498,3.722826000000e-05,6.063313000000e-05,9.786139000000e-05
233,4.6600000000,112.7200096151,3.361118000000e-05,6.063313000000e-05,9.424431000000e-05
234,4.6800000000,113.2037864804,2.999238000000e-05,6.063313000000e-05,9.062552000000e-05
235,4.7000000000,113.6875633457,2.637278000000e-05,6.063313000000e-05,8.700591000000e-05
