# energy_eV,HSE_Re,HSE_Im,TDCDFT_Re,TDCDFT_Im
1.750000000000000000e+00,1.335998804534260920e+01,-4.226051573436424014e-01,2.832879818080381185e+01,-1.357926185862494417e-01
1.760000000000000009e+00,1.338048013097705535e+01,-4.223330756910507189e-01,2.837483996200789704e+01,-9.557746881987656817e-02
1.770000000000000018e+00,1.340175303686790365e+01,-4.222940375906559241e-01,2.841878293366293562e+01,-5.827570791808359130e-02
1.780000000000000027e+00,1.342383644834687040e+01,-4.224287601958815475e-01,2.846114376233569132e+01,-2.479309217426728384e-02
1.790000000000000036e+00,1.344675092349175216e+01,-4.226741949035626167e-01,2.850257714159968003e+01,4.051044403306810864e-03
1.800000000000000044e+00,1.347050739081559456e+01,-4.229649731919117861e-01,2.854386296745320806e+01,2.754229690538437247e-02
1.810000000000000053e+00,1.349510687092046268e+01,-4.232349188880715762e-01,2.858589098353860436e+01,4.508806869968044057e-02
1.820000000000000062e+00,1.352054043093437130e+01,-4.234185923947774155e-01,2.862964307206571490e+01,5.623246068931124497e-02
1.830000000000000071e+00,1.354678937525000926e+01,-4.234528312197310962e-01,2.867617342021754112e+01,6.066882363920231280e-02
1.840000000000000080e+00,1.357382567062164824e+01,-4.232782507813545592e-01,2.872658684493994130e+01,5.824965002519405521e-02
1.850000000000000089e+00,1.360161259817776624e+01,-4.228406699339328778e-01,2.878201561013218424e+01,4.899351360435831582e-02
1.860000000000000098e+00,1.363010561950098776e+01,-4.220924269666432860e-01,2.884359511806466614e+01,3.308880481261591150e-02
1.870000000000000107e+00,1.365925343874425835e+01,-4.209935539675596639e-01,2.891243890005587147e+01,1.089405785139547535e-02
1.880000000000000115e+00,1.368899923791863138e+01,-4.195127803688694645e-01,2.898961336876872252e+01,-1.706527959141725809e-02
1.890000000000000124e+00,1.371928205812467816e+01,-4.176283401456792332e-01,2.907611282472527137e+01,-5.010372135239644920e-02
1.900000000000000133e+00,1.375003829571807756e+01,-4.153285614537158832e-01,2.917283523166006276e+01,-8.738628252787278283e-02
1.910000000000000142e+00,1.378120327929910438e+01,-4.126122223677067269e-01,2.928055928813850883e+01,-1.279426319720261829e-01
1.919999999999999929e+00,1.381271289108079259e+01,-4.094886617151652919e-01,2.939992332560350974e+01,-1.706847303333866028e-01
1.929999999999999938e+00,1.384450519468914997e+01,-4.059776396694747547e-01,2.953140655500840950e+01,-2.144277492546456942e-01
1.939999999999999947e+00,1.387652203082944347e+01,-4.021089486405697300e-01,2.967531316497825600e+01,-2.579139898628986516e-01
1.949999999999999956e+00,1.390871054254325401e+01,-3.979217809441902842e-01,2.983175974376423412e+01,-2.998394424668792690e-01
1.959999999999999964e+00,1.394102459298997054e+01,-3.934638655997757528e-01,3.000066645511226682e+01,-3.388825561481822457e-01
1.969999999999999973e+00,1.397342604079529949e+01,-3.887903922606445462e-01,3.018175234479644686e+01,-3.737347184046747040e-01
1.979999999999999982e+00,1.400588584098457900e+01,-3.839627455793284128e-01,3.037453509047224642e+01,-4.031318828811753519e-01
1.989999999999999991e+00,1.403838494329772857e+01,-3.790470781230710351e-01,3.057833543343850380e+01,-4.258867291628937179e-01
2.000000000000000000e+00,1.407091496418868459e+01,-3.741127541565321679e-01,3.079228644787394842e+01,-4.409206941755532960e-01
2.010000000000000231e+00,1.410347861394556723e+01,-3.692307000911287385e-01,3.101534771238266686e+01,-4.472951813726921411e-01
2.020000000000000018e+00,1.413608986601446738e+01,-3.644717000685189778e-01,3.124632435172245337e+01,-4.442412328687052048e-01
2.030000000000000249e+00,1.416877386163992902e+01,-3.599046769240533128e-01,3.148389081508261356e+01,-4.311869420704753653e-01
2.040000000000000036e+00,1.420156654920899442e+01,-3.555949996091458121e-01,3.172661915307940106e+01,-4.077818910150226017e-01
2.049999999999999822e+00,1.423451406405462549e+01,-3.516028580061417719e-01,3.197301145074970918e+01,-3.739179181199070445e-01
2.060000000000000053e+00,1.426767186078573424e+01,-3.479817449360312898e-01,3.222153597035757855e+01,-3.297455586992179000e-01
2.069999999999999840e+00,1.430110361631074944e+01,-3.447770830517250529e-01,3.247066645795786144e+01,-2.756855523938167574e-01
2.080000000000000071e+00,1.433487992746012551e+01,-3.420250312662713732e-01,3.271892397359010118e+01,-2.124348782977679428e-01
2.089999999999999858e+00,1.436907683234525734e+01,-3.397515014471901851e-01,3.296492051888195363e+01,-1.409668594053795909e-01
2.100000000000000089e+00,1.440377418918403229e+01,-3.379714113991040825e-01,3.320740365984121922e+01,-6.252497210416582685e-02
2.109999999999999876e+00,1.443905395015680959e+01,-3.366881947606907843e-01,3.344530127870535097e+01,2.138989745964043482e-02
2.120000000000000107e+00,1.447499837082771990e+01,-3.358935824813288895e-01,3.367776553874220724e+01,1.090388917752082298e-01
2.129999999999999893e+00,1.451168819769151952e+01,-3.355676641551800232e-01,3.390421511149084921e+01,1.984713316058963894e-01
2.140000000000000124e+00,1.454920087742536339e+01,-3.356792308259282653e-01,3.412437469849041349e+01,2.875574616922470517e-01
2.149999999999999911e+00,1.458760883139886566e+01,-3.361863940929951111e-01,3.433831088018143873e+01,3.740275414567547640e-01
2.160000000000000142e+00,1.462697783791392858e+01,-3.370374696133709991e-01,3.454646334417118680e+01,4.555168920338826810e-01
2.169999999999999929e+00,1.466736556252011781e+01,-3.381721065671962623e-01,3.474967058388860863e+01,5.296163742181915213e-01
2.180000000000000160e+00,1.470882027362224598e+01,-3.395226385020103654e-01,3.494918921690331359e+01,5.939276387823210213e-01
2.189999999999999947e+00,1.475137977652732779e+01,-3.410156253442621632e-01,3.514670614955509365e+01,6.461223638066591057e-01
2.200000000000000178e+00,1.479507059415742454e+01,-3.425735514120689662e-01,3.534434291036195219e+01,6.840045759066163411e-01
