# eV,ground_re,ground_im,pumped_re,pumped_im
1.770000000000000018e+00,-2.956772354799769964e+00,-1.398672838577837085e+00,-4.000274951075359553e+01,1.483542814988401233e+02
1.780000000000000027e+00,-3.931065587866343414e+00,-4.891645564843013494e-01,-5.455576153578591203e+01,1.435762460784127086e+02
1.790000000000000036e+00,-5.351270513419148500e+00,5.932044982803467148e-01,-6.819920986666090812e+01,1.368061973777181208e+02
1.800000000000000044e+00,-7.316278837473291219e+00,1.757638203413361522e+00,-8.062739346146213393e+01,1.282680683118177569e+02
1.810000000000000053e+00,-9.908428639269420302e+00,2.882797721810079317e+00,-9.159357886927926984e+01,1.182356534766789053e+02
1.820000000000000062e+00,-1.318524762211785628e+01,3.819910837586397712e+00,-1.009182210493567027e+02,1.070168815449998334e+02
1.830000000000000071e+00,-1.717184394919927826e+01,4.398025821015243864e+00,-1.084929836795698321e+02,9.493682962973423400e+01
1.840000000000000080e+00,-2.185449543633407288e+01,4.431254002296907579e+00,-1.142804218630187023e+02,8.232059939697883522e+01
1.850000000000000089e+00,-2.717594488763647576e+01,3.727704066507767422e+00,-1.183094871774034260e+02,6.947716363137551809e+01
1.860000000000000098e+00,-3.303283020651807078e+01,2.099682918806568654e+00,-1.206672966627998704e+02,5.668520279664470252e+01
1.870000000000000107e+00,-3.927556671108170150e+01,-6.253679452452367560e-01,-1.214878533738868072e+02,4.418179138533836436e+01
1.880000000000000115e+00,-4.571086229548831881e+01,-4.593807372603807337e+00,-1.209385992366079137e+02,3.215457614512996543e+01
1.890000000000000124e+00,-5.210689209760946738e+01,-9.915247159999831084e+00,-1.192058080548465426e+02,2.073782932444592575e+01
1.900000000000000133e+00,-5.820099790321273758e+01,-1.665316844686883613e+01,-1.164798796365543154e+02,1.001247936644401015e+01
1.910000000000000142e+00,-6.370961906542939346e+01,-2.481730693388882614e+01,-1.129415727944837045e+02,9.939685895538260055e-03
1.919999999999999929e+00,-6.834001662965587798e+01,-3.435833184198137502e+01,-1.087501187378319969e+02,-9.280706389862718453e+00
1.929999999999999938e+00,-7.180323024579183766e+01,-4.516522874919079555e+01,-1.040339957054845854e+02,-1.790283131240056491e+01
1.939999999999999947e+00,-7.382761650344590976e+01,-5.706565376403049328e+01,-9.888493369871342509e+01,-2.592053842088230553e+01
1.949999999999999956e+00,-7.417226372285603020e+01,-6.982936455390000674e+01,-9.335547134634785493e+01,-3.340603340795772169e+01
1.959999999999999964e+00,-7.263956573635724112e+01,-8.317466248296248921e+01,-8.746012383689905789e+01,-4.042707741980613179e+01
1.969999999999999973e+00,-6.908626689908295759e+01,-9.677761008012066668e+01,-8.117996065432640762e+01,-4.703547484675010537e+01
1.979999999999999982e+00,-6.343236084995574231e+01,-1.102836297115592856e+02,-7.447015290422616829e+01,-5.325745046554470719e+01
1.989999999999999991e+00,-5.566733219747679584e+01,-1.233209523347786813e+02,-6.726984850832823781e+01,-5.908661501968656893e+01
2.000000000000000000e+00,-4.585336685098582166e+01,-1.355152777958646766e+02,-5.951358240583045500e+01,-6.448001833780477909e+01
2.010000000000000231e+00,-3.412531487180956447e+01,-1.465049365851402285e+02,-5.114333697806737433e+01,-6.935756014178353723e+01
2.020000000000000018e+00,-2.068735996593227000e+01,-1.559558112533341614e+02,-4.212033950428234874e+01,-7.360478767124314459e+01
2.030000000000000249e+00,-5.806521984106261414e+00,-1.635752852496127616e+02,-3.243571820006298623e+01,-7.707887317580703268e+01
2.040000000000000036e+00,1.019671697517149589e+01,-1.691245366599606541e+02,-2.211923151971955193e+01,-7.961734912766142713e+01
2.049999999999999822e+00,2.696022533826934264e+01,-1.724285806793584186e+02,-1.124542831588626512e+01,-8.104899841807988992e+01
2.060000000000000053e+00,4.409391455941727855e+01,-1.733835820218625372e+02,6.322247221790922023e-02,-8.120616149694960484e+01
2.069999999999999840e+00,6.119466214156117445e+01,-1.719610995673073432e+02,1.163648831442994691e+01,-7.993763942153454138e+01
2.080000000000000071e+00,7.786176164054177207e+01,-1.682090819239921871e+02,2.325985588036134644e+01,-7.712134420255075895e+01
2.089999999999999858e+00,9.371217949968750816e+01,-1.622495952431518447e+02,3.468116904270516443e+01,-7.267587488220534908e+01
2.100000000000000089e+00,1.083949193643089046e+02,-1.542734245503252737e+02,4.562005746291678321e+01,-6.657027508554955375e+01
2.109999999999999876e+00,1.216038503613481652e+02,-1.445318386105426782e+02,5.577962647485016134e+01,-5.883134797233164193e+01
2.120000000000000107e+00,1.330884424719932895e+02,-1.333259384942315080e+02,6.485975185616558747e+01,-4.954805791991032748e+01
2.129999999999999893e+00,1.426619638725452432e+02,-1.209941155353403559e+02,7.257123912349020145e+01,-3.887272378756394886e+01
2.140000000000000124e+00,1.502068252262215537e+02,-1.078982209055501897e+02,7.865006873274835186e+01,-2.701889457817858897e+01
2.149999999999999911e+00,1.556768970486483568e+02,-9.440909398901497696e+01,8.287095553499638356e+01,-1.425598331351755377e+01
2.160000000000000142e+00,1.590967709907375820e+02,-8.089210934448976786e+01,8.505949987211347718e+01,-9.009085460512112897e-01
2.169999999999999929e+00,1.605580770276507678e+02,-6.769338318800960508e+01,8.510229343297866933e+01,1.269285372672081635e+01
2.180000000000000160e+00,1.602130996084187586e+02,-5.512723241176299638e+01,8.295445844353466214e+01,2.614827881962202127e+01
2.189999999999999947e+00,1.582660512349648343e+02,-4.346540579191729847e+01,7.864423594791888661e+01,3.907923964946353834e+01
2.200000000000000178e+00,1.549624572483581346e+02,-3.292851276965944152e+01,7.227438947727475238e+01,5.110570773621447671e+01
2.209999999999999964e+00,1.505771775673338198e+02,-2.367996516116423322e+01,6.402034607914004027e+01,6.186900148867955096e+01
2.220000000000000195e+00,1.454016377444390855e+02,-1.582262681094930556e+01,5.412514987828076585e+01,7.104638357623652212e+01
2.229999999999999982e+00,1.397308621509432669e+02,-9.398241028428349964e+00,4.289144737302608945e+01,7.836434956451432754e+01
2.240000000000000213e+00,1.338508966170090559e+02,-4.389580926424578422e+00,3.067085297795063070e+01,8.361001775689267390e+01
2.250000000000000000e+00,1.280271776175216019e+02,-7.251484374108390085e-01,1.785115354235677287e+01,8.664012086778384969e+01
